Id,Genotype,Milieu,Plate,PR_length,Tortuosity,RootArea,LR_length,Grouping,Plants/group,distanceFromHypocotyl,ShootArea,Chlorophyll
N1_11,sex1,Milieu_4,Plate_1,8.648,1.198,0.248,14,6,5,2.158,0.222,5.066
N1_12,sex1,Milieu_4,Plate_1,6.077,1.136,0.248,14,6,5,2.158,0.074,1.673
N1_13,sex1,Milieu_4,Plate_1,8.923,1.319,0.248,14,6,5,2.158,0.170,3.965
N1_14,sex1,Milieu_4,Plate_1,8.254,1.207,0.248,14,6,5,2.158,0.096,2.141
N1_15,sex1,Milieu_4,Plate_1,2.468,1.131,0.069,4,7,1,0.113,0.020,0.453
N1_16,sex1,Milieu_4,Plate_1,7.336,1.178,0.218,9.5,5,6,1.980,0.128,3.033
N1_17,sex1,Milieu_4,Plate_1,7.105,1.211,0.248,14,6,5,2.158,0.174,4.268
N1_18,sex1,Milieu_4,Plate_1,5.618,1.159,0.218,9.5,5,6,1.980,0.120,2.884
N2_1,sex1,Milieu_4,Plate_2,10.47,1.128,0.219,5.5,2,4,2.100,0.130,3.229
N2_2,sex1,Milieu_4,Plate_2,6.383,1.108,0.144,4,1,1,2.144,0.155,3.720
N2_3,sex1,Milieu_4,Plate_2,7.256,1.121,0.219,5.5,2,4,2.100,0.069,1.460
N2_4,sex1,Milieu_4,Plate_2,6.068,1.145,0.219,5.5,2,4,2.100,0.051,1.301
N2_5,sex1,Milieu_4,Plate_2,10.057,1.385,0.219,5.5,2,4,2.100,0.143,2.980
N2_6,sex1,Milieu_4,Plate_2,2.12,1.487,0.043,2,3,1,0.337,0.078,1.611
N2_7,sex1,Milieu_4,Plate_2,8.314,1.166,0.216,10.5,4,2,1.935,0.111,2.330
N2_8,sex1,Milieu_4,Plate_2,6.872,1.125,0.216,10.5,4,2,1.935,0.025,0.583
N2_9,sex1,Milieu_4,Plate_2,8.864,1.154,0.246,9,5,1,1.971,0.118,2.622
N2_10,sex1,Milieu_4,Plate_2,5.391,1.131,0.180,5.5,6,2,2.167,0.162,3.003
N2_11,sex1,Milieu_4,Plate_2,7.444,1.120,0.180,5.5,6,2,2.167,0.111,2.631
N2_12,sex1,Milieu_4,Plate_2,8.845,1.125,0.241,11,7,4,2.482,0.371,8.099
N2_13,sex1,Milieu_4,Plate_2,10.398,1.100,0.241,11,7,4,2.482,0.107,2.133
N2_14,sex1,Milieu_4,Plate_2,7.745,1.149,0.150,8.5,8,2,2.186,0.089,1.968
N2_15,sex1,Milieu_4,Plate_2,3.295,1.156,0.150,8.5,8,2,2.186,0.106,2.328
